row;value_x;value_y;value_z
230;69568367;4923607;97546399
231;77186706;95800782;48337652
232;23051054;66753881;65847030
233;97526718;90947028;45222500
234;16516300;21598554;89379134
235;32728085;19803885;24214004
236;13694865;37303971;88352104
237;54160230;18683338;75467252
238;69202270;34488781;83622372
239;92406310;71115841;27362154
240;49026093;21360204;81513785
241;4628283;22598249;40077753
242;23925673;53818135;37258804
243;1620516;4189899;88678448
244;49411166;21666810;69190362
245;43419218;69530025;22675740
246;58262353;11589493;97798766
247;98583353;77048371;103888
248;26390871;45876716;12263305
249;77013186;28426698;23135986
250;47263682;42726123;80096817
251;54009801;26954345;38312392
252;4373568;79797770;15099102
253;13309866;56602385;30858576
254;98312301;14354421;13121176
255;71097106;84979289;98323568
256;95791931;13244824;92071397
257;18299108;46451551;96295547
258;87934427;40587940;66647694
259;55277675;55873340;8661519
260;26670568;80369114;8036437
261;44163369;90798986;14181961
262;10775483;39229718;87421637
263;49768555;67157279;17514749
264;96677156;26676124;17875952
265;39602308;12972610;92527461
266;58680007;45180008;73144796
267;50993240;32620053;45638308
268;23998464;26876357;39222385
269;36225224;3324275;66743148
270;88658441;44504546;89875704
271;37419248;97268135;34475383
272;41548807;90031184;27637574
273;67693486;19285132;68124032
274;55296067;38010501;31155778
275;4045908;70639113;40743069
276;87944174;59281809;44221899
277;93817675;74192906;33563242
278;96669728;75569961;69357752
279;78447741;85547752;96080431
280;87959600;72744288;56465740
281;3626244;31715219;48743374
282;93116482;81059614;35455568
283;4353955;85184576;17859067
284;4016346;29627946;80737484
285;8021536;72104432;90343853
286;13107057;61154154;42581924
287;19877506;43088764;68893753
288;14239216;67616402;8068178
289;47049630;51807012;21272031
290;42550547;83841636;75281572
291;12752753;33596047;10071168
292;21787852;30853622;63010635
293;44607746;2115607;40392140
294;66859929;2280439;29711426
295;29253251;72093320;33212941
296;19369530;26538366;86611249
297;89172089;20239228;49054866
298;28022932;92215389;96212498
299;78642109;97754486;29796771
300;83835320;92855998;37802048
301;28756541;18711106;45124695
302;85385690;93657511;29719043
303;23413220;33714644;55452328
304;8477997;83553289;51085097
305;70538208;63828622;89473606
306;80354287;4456504;34911477
307;66531498;4701065;97471146
308;74238691;64924849;17961932
309;13207693;77077378;71535967
310;60263555;41844155;84404257
311;39624899;7470993;74786784
312;59339684;20767998;93440401
313;73103927;19384106;62987322
314;92710340;96527432;24414875
315;40366734;32499236;12284788
316;76353458;58178477;14967094
317;5341615;9720594;81199132
318;55205847;37960847;43151877
319;24326641;49269839;32463399
320;66897040;35578868;42634500
321;48553311;49441039;8384190
322;36951006;7456315;16448
323;98712787;76890822;83239676
324;61732406;66020009;1082572
325;97036068;67183146;53631982
326;96884240;59872928;10736521
327;54388460;49772699;53262645
328;26923938;4085918;93184964
329;87771597;726350;46427726
330;51289365;51642538;19901997
331;69012041;25950124;19951876
332;17165987;13595685;62170286
333;37258243;21177328;47447856
334;47900270;75458805;58202477
335;89745363;13216458;16095318
336;28951727;43169092;53008496
337;69227223;71884170;29716970
338;70939952;2452178;4132284
339;64014873;39306738;10004799
340;2195229;56319528;28641437
341;79718035;82593108;96812638
342;1812199;51622824;49003346
343;54711520;12159402;33862981
344;4175984;39604330;31692952
345;47777275;9968897;8145239
346;28726842;93914253;98725007
347;50479446;96443525;13354777
348;7869155;76099346;71287001
349;19500832;52380334;54505111
350;71415462;82938399;93264680
351;47645484;47708931;46817796
352;42434915;72116640;84551078
353;4994011;50195483;71756068
354;22595967;72273343;92482852
355;57752789;80221039;29305619
356;5553938;74069445;42570988
357;12361765;60294727;8868984
358;46813325;23383925;87495487
359;28536810;16925428;65367434
360;28869110;56315455;65371860
361;68690590;26435350;53196349
362;83838537;12503636;13292550
363;43051996;26089080;18436013
364;49199533;43812275;49645816
365;24833165;6969411;61879128
366;94493547;42474085;8725035
367;86565796;45966608;49890656
368;29472368;34631423;37669277
369;35120159;54089687;12131981
370;19965947;58374229;54824358
371;23291620;7465919;70390959
372;83829477;79362084;48811715
373;48166700;51941735;6569537
374;16193129;67526879;43351745
375;23812340;77744507;45607738
376;44794041;64426023;34545271
377;48568351;35945424;51689587
378;69232520;8988164;60449827
379;36355976;28096034;22341747
380;51402411;69811942;92670207
381;33392837;67063375;74008076
382;89110757;81176268;73962196
383;81501094;62970812;14723123
384;90046703;76239797;84629500
385;46931280;86592315;58883739
386;72391846;65102267;71182870
387;20600214;94586051;31940422
388;47226733;70944620;27086820
389;12372190;73359527;73341009
390;45050133;20434658;28193372
391;29740174;66082364;16565923
392;98069773;61341313;95044522
393;4709941;33666098;3777075
394;31527999;6255928;30109219
395;71021707;10889217;6402299
396;55688855;7548571;50891255
397;74176361;32949083;70567935
398;29884079;37174144;71000603
399;21791528;63256132;27173321
400;68016506;55795208;50946285
401;45462373;77068628;56364605
402;23957441;65136699;94087504
403;51816414;84750927;77238386
404;96976123;10486270;42530471
405;79213155;23240580;11618706
406;55217893;11323755;54368514
407;70275257;37356592;33746859
408;46260231;71895366;9780667
409;23755170;31263250;67036790
410;97642524;228014;85462417
411;14772202;8318041;16910839
412;65145944;34322792;93395694
413;34879368;54257804;9944285
414;45509005;55857210;902024
415;38272125;48653554;73242271
416;56528332;84042463;83408743
417;72446551;76997748;65407437
418;75110025;49294813;21040425
419;10986238;48845578;72459129
420;31357042;61847740;17285962
421;55424192;90065722;75176763
422;74478890;72308412;48969316
423;38567409;77977436;49259755
424;59539364;46671311;49648996
425;30660923;31671735;39234494
426;51323079;53774382;30040906
427;61944488;94504703;24174946
428;59945233;94530156;39336249
429;22332259;48419082;51620633
430;18672854;36009656;88292467
431;7724390;7530228;43772160
432;64070791;18816967;30554581
433;52180536;95626044;24839742
434;5502789;94462248;57577220
435;51923587;91557263;41796797
436;91360537;46416643;77352086
437;8590560;69731981;15997249
438;79178735;54438496;64334277
439;23578563;37480023;66041287
440;40922325;59766490;8931065
441;58154124;8632426;2558693
442;1675983;40214078;7652316
443;68580405;78040143;91144915
444;89827020;56031706;49580984
445;67755636;16637351;97918209
446;47105893;63075052;34157006
447;91093990;21666739;38645178
448;49746050;37939263;51608595
449;92869767;11971598;84960191
450;732758;38964695;75045756
451;8407460;30008530;31545676
452;70155358;7881661;97023195
453;12930311;39103680;91523024
454;86160253;37144267;52407353
455;86642041;67983563;89269672
456;48436809;89388383;66437926
457;67529237;93386651;22389158
458;30870748;31772278;24339065
459;84026116;64188972;29700905
460;65078081;88299712;48655647
461;22633965;28288836;32068932
462;63315577;19895382;8147642
463;66583846;33534555;49977505
464;7805940;79332034;24666596
465;7792789;44643733;82765033
466;80333556;61916700;19007721
467;42491514;55746992;88528196
468;51192908;30283482;64674387
469;58838661;58906442;72982592
470;71292129;36611577;46371993
471;68593206;98776298;62235006
472;94113585;47776217;71281213
473;6389524;19431595;81301549
474;21904831;35608389;21462756
475;55308797;74345672;66472719
476;67397553;55014585;64392718
477;68267470;64678478;18943382
478;11499888;56585420;23930099
479;83261344;49879845;19017375
480;23088860;48595470;97445186
481;65645357;60961207;52247659
482;92821098;27397807;71827688
483;21699654;15592071;91334335
484;35309587;84471385;24565073
485;30969269;2660009;30707068
486;53371523;43441974;77715171
487;59949769;33362374;72132135
488;46502674;91320693;65089733
489;7314527;97939;91761924
490;55199201;11690458;92577990
491;89435577;84672954;24105754
492;20241243;45108130;84210951
493;35796515;85663949;75771932
494;5224041;41482130;85186490
495;72939451;27961048;8290168
496;37316163;96134174;26532789
497;6925911;2312772;83762217
498;56804544;83789172;20990744
499;36286947;10800049;88896228
500;36684569;44444935;37156008
501;74736745;64564767;1847436
502;17112658;55503727;21647048
503;37340039;28680918;75492247
504;29831916;59919270;18384664
505;76489472;26216799;79596206
506;57505345;3417905;77961717
507;87087929;71836083;73191571
508;94643403;70419822;20335777
509;48521917;80559112;67276707
510;52720005;42131665;9723329
511;2563062;50546223;6459447
512;12131372;66101124;90570227
513;23014756;55785795;73992492
514;52350131;95393917;49628588
515;20787207;50233836;7906973
516;89373151;90069664;41614769
517;43681662;4107213;20945147
518;82886221;2075514;60103839
519;14731308;93229786;80916195
520;79862154;64232252;30682660
521;50115333;11728809;43957536
522;70405403;22686919;87321884
523;62630772;67382774;4200282
524;44674148;51469640;60882024
525;61014357;44612082;36937353
526;29222445;64310866;94467897
527;1145296;50893091;17410081
528;13124856;53868377;48522994
529;40119133;80648970;70478725
530;93994811;47713935;59098193
531;45693748;81509897;29249392
532;74148157;19808918;53940411
533;27210950;47507998;61349205
534;6448037;92726047;38423291
535;87295205;80365194;19028521
536;28563678;29317625;22576740
537;34641302;20820564;73812551
538;10671842;73867546;47477356
539;90350552;69696333;14256060
540;61039756;73713686;93239597
541;52193926;53753591;40574854
542;13162360;65050625;35703758
543;82592642;58293033;97735405
544;64414044;83908668;20155497
545;55638674;59272315;72977217
546;19672382;20296641;81215111
547;43029905;61971245;95929284
548;23361470;666883;79513807
549;41488494;9829635;50679457
550;45753202;71987150;52439502
551;23100012;63310791;80215510
552;98497802;48066440;82752691
553;12860658;77908445;4374632
554;52712435;60623460;64475584
555;346990;24835097;6245609
556;75853804;97092643;27681019
557;64632144;85788576;42774902
558;30288966;44306367;7347923
559;91333243;57814300;18066410
560;65443221;39390735;96748620
561;59888646;10932493;38325793
562;25383823;59415340;16750358
563;43567009;63615309;1056423
564;12846333;4305983;4353468
565;13226837;53841313;13360938
566;22253344;92819807;5026468
567;49227680;81059105;43648911
568;1577413;49175778;50318798
569;64467834;64736718;87326136
570;95882012;88916810;28233505
571;84315437;25462657;80858414
572;17501866;67618497;68804258
573;19979770;47015805;13642177
574;96299322;33001418;40678746
575;58664821;4573467;92036219
576;24200539;11598118;35950571
577;64485694;88174340;24905561
578;97834864;89101124;13564007
579;88003074;29746987;59481068
580;84886146;26736119;22599076
581;14903824;23459826;39478645
582;73486738;90567155;97757419
583;51095146;27227134;60515673
584;96347339;26937028;57698070
585;82995363;67455452;21717270
586;59265474;85727589;10888116
587;18367573;39673872;32299953
588;50840639;23234993;77695632
589;31510326;52747072;98620292
590;66800479;49051977;21182947
591;47840415;67071859;22656509
592;86148402;27844227;15889319
593;44061920;73063639;44060378
594;64102126;20239304;39728802
595;12116360;9670664;60292209
596;38528515;48187816;41381492
597;18548594;65735104;11277602
598;26996830;97922611;98285511
599;67805293;95879232;8535269
600;35438780;33462346;70345258
601;42579906;14405444;64965875
602;43034936;28518676;28641140
603;92553474;66301965;22795716
604;34255478;59071393;15159524
605;42187782;367396;43247592
606;39457738;17164409;73881692
607;31023587;1766686;49771775
608;67754638;77830523;67683117
609;56750897;97618379;53076574
610;21334203;33395845;87870518
611;51144683;7002950;45439695
612;1626729;79072442;38331793
613;9844989;91969600;38715973
614;76190322;38063655;81187694
615;29953575;87099424;97707008
616;84748014;51721413;38928924
617;28434401;652141;76813649
618;54738666;11153527;8805950
619;14202536;78460617;78168864
620;4064191;77795173;84060708
621;34589700;86953780;98335278
622;57334601;20441197;37111573
623;40893384;42500819;68938465
624;82942593;26361752;35354709
625;15623433;57744508;34696314
626;22482993;63815703;53847673
627;12589573;8076505;32876207
628;41439347;62567947;47764792
629;84727719;45212735;63342550
630;94287216;41992645;56645221
631;4996151;51362269;53184891
632;19494331;10730785;70985316
633;33890481;86847059;47967699
634;56594995;94461165;70897670
635;20474239;89022846;39648300
636;62088559;5521619;43200017
637;44775580;40478892;64250886
638;13174708;73803813;98624286
639;3017900;88050143;73655764
640;62931235;79805761;57893339
641;78913866;60053741;10884956
642;77535755;55528165;60757725
643;27722530;60117807;14650985
644;23250628;80004155;85066445
645;16066271;92400602;91315792
646;86386311;9969893;72889810
647;31949104;63221882;30806255
648;61128735;98578846;48171597
649;49756925;83239651;51356732
650;77555884;85749393;91671709
651;53074550;32294599;75050087
652;88581694;78788247;37796882
653;62562509;79369464;83775423
654;19345014;60369085;58513403
655;92318692;28826226;14196373
656;89504979;38618583;48543341
657;28495780;16437813;12688800
658;50041684;26133558;70254985
659;24160686;79085709;67020593
660;15670248;62656725;29647626
661;17346148;21546903;69903969
662;13007973;7235553;17893943
663;23993992;77527365;52655773
664;31467802;73992155;63330003
665;37033651;86310605;14606586
666;69420091;83356986;43867634
667;97342867;42483481;43533186
668;63016323;6572962;65215211
669;6684184;91492631;51364847
670;33631375;80109134;71647385
671;66477959;28041009;55935144
672;10961802;3497852;61892045
673;96246828;19481439;72910302
674;18503140;18414969;42901321
675;23490887;8511387;1712549
676;24072470;82415411;51047017
677;81564899;52842396;71387979
678;11248834;68822108;63070953
679;61160263;59678329;2479363
680;80313548;19308082;67338892
681;84964120;84554092;43103167
682;66235791;70174708;13333265
683;2855134;24022182;98055291
684;78331289;29240149;67169757
685;69383622;91021463;28240060
686;23840741;23541157;33968388
687;90866920;43633788;85492317
688;14663075;90593738;59355732
689;19753385;88582285;29005923
690;91429784;50500187;73747939
691;46838742;96826921;28344300
692;69401572;88769961;96137062
693;63990861;8234352;17280614
694;58725864;2522652;78680185
695;72075251;29320729;56410503
696;2427981;90548976;94486189
697;81230005;81060670;28547049
698;34460232;24040108;42223101
699;46096739;84978449;7525053
700;60779974;85785747;53175573
701;895239;84058794;71244450
702;78638307;17399810;90349152
703;46668354;73358568;76121318
704;80847058;54577598;52196882
705;49049435;70763468;44825218
706;58511963;26193591;96073021
707;81398651;61188458;49067738
708;46546064;55219591;95703088
709;47896297;50691329;85172616
710;54832572;94565754;9858288
711;7845182;47071970;33223612
712;40808474;91062123;10261955
713;57851287;12329858;23635137
714;27595399;78950947;86456276
715;53642711;81940898;54923575
716;80659252;37953326;11158245
717;6890819;68520722;7949267
718;63073667;3213749;60501535
719;88959789;16167565;52025102
720;6329200;69481089;38203604
721;28140683;89313390;42060720
722;78919277;22102264;89954515
723;78447089;8594826;45274987
724;70287065;55485054;71212324
725;30596819;75389715;63801776
726;39673647;38046129;5973178
727;66294473;1259185;11464815
728;64440447;80455925;44260698
729;98635610;63748632;26380337
730;1405779;38175317;33555942
731;50572250;64317585;50897710
732;23914208;30962397;45677560
733;57071067;53798977;56447890
734;40472819;7860989;56085124
735;11500857;46128333;15765878
736;97153942;82652163;97456656
737;38101746;67487714;51055135
738;96075173;19157480;70212327
739;96656031;13370922;79593458
740;32731854;82214944;5261725
741;41621980;27592251;87828240
742;28855529;65801225;76158178
743;49707297;39044043;41528218
744;1131518;21932362;1739637
745;8538564;14897452;7514752
746;19632414;72008733;76130087
747;33582975;53222608;93425161
748;9024793;98013761;80766710
749;6239327;80351405;79859447
750;79681401;5556780;52511557
751;97823278;20538168;22457595
752;20552222;62790569;22458917
753;2934936;82750901;37842869
754;44040172;53772165;29912089
755;29320439;54359771;76114090
756;79703383;33657664;46149050
757;61723861;83848783;53661360
758;61739834;91389583;6641703
759;14502591;94570258;67161524
760;27313379;50248168;87799243
761;9436100;44146627;26768594
762;1959906;48249261;90687604
763;98436867;52614743;1093990
764;7540845;62307569;37268291
765;83894879;66275664;95321905
766;21380777;29348670;87882459
767;37668307;74065228;16239216
768;2520007;85619713;64352887
769;7293080;9381803;60715787
770;61143369;46095957;81235579
771;45286917;32729256;7460745
772;14882569;38481458;95198193
773;41370022;49637218;27867290
774;39976859;75531957;19199678
775;79810523;36448189;1497211
776;37509998;35977644;91463543
777;81648195;75405575;74061322
778;88599995;94871182;86911029
779;71028402;75597747;70450079
780;22238252;17928993;90946816
781;90480388;36816081;24364941
782;42827599;3129281;64261363
783;78553570;8893992;40102862
784;93571444;9275973;3210987
785;42380768;74550270;89674484
786;13948215;37954758;44146895
787;7718212;77821008;14176644
788;20275669;58096369;16839719
789;25714920;92385696;616161
790;79837892;24028377;85447531
791;56883279;90120171;6259022
792;86126239;41348635;31510468
793;62030147;66652231;62666334
794;72504191;65302572;86126032
795;57368433;80459299;6555489
796;49004061;25959863;91376448
797;15704452;3515360;39295867
798;12723570;10327346;62137368
799;51592931;26185668;61438827
800;25787454;46171822;53362766
801;6700494;33506333;89684059
802;50738413;5903749;5954396
803;20335874;42761666;5250274
804;81590677;40139861;75239125
805;62843483;98372888;1856504
806;55647414;52064014;53031394
807;14633505;10418478;28797629
808;73034042;29099498;6766209
809;19831263;66046507;19347820
810;17463153;41307457;36435469
811;54205426;23802693;31919816
812;96507851;47342885;52788517
813;18608599;31129367;80860964
814;16714874;72728457;62208525
815;30529180;47272460;61598601
816;85173082;33138795;66858527
817;96530417;98153478;40377137
818;49476069;6640953;70407385
819;57051173;38163698;34954255
820;45939533;56150106;4403448
821;29458011;96216732;86523695
822;24086119;64893938;88383865
823;92933226;39900271;50256060
824;49474922;59167899;52264998
825;66979316;98051284;75170165
826;62308622;6024098;68778959
827;81068271;88907945;38937613
828;36892277;56905761;14182239
829;88153348;44668501;7092283
830;57715568;55315472;3619232
831;79565545;38737845;49763939
832;15112676;82872738;36966718
833;71277399;97245817;87929004
834;25167153;61461760;11581323
835;65978625;38579309;47360715
836;27989244;26969031;5265141
837;47126482;60453545;40431031
838;52232374;63970690;45914274
839;48999891;98531498;60735883
840;5043607;33676571;38708108
841;56779812;34153800;73448954
842;64022508;45788166;79648575
843;2307792;37708950;19651102
844;96014618;75625508;3352712
845;45861029;70257696;16805971
846;18739709;73188448;29786474
847;3841635;41068185;81442691
848;41581955;55968356;90323837
849;50182912;5636413;55115451
850;86927390;30578515;62843929
851;2614527;82982784;39353882
852;24341877;20871116;81105870
853;56631;66400441;87301885
854;83253625;83331335;17729477
855;52607922;46499564;61090323
856;93552247;30724048;12114857
857;92860319;54908838;33503694
858;5828517;94456194;47322665
859;80922010;30479948;30329342
860;87483364;84827540;69806412
861;28228567;2497455;61207616
862;92749290;82677088;82631767
863;73126634;47636421;32753347
864;76402128;74633433;50186881
865;75859013;41820422;34052254
866;87283950;89173969;51724708
867;54657094;42059284;21915455
868;20034927;78267039;93799001
869;54733996;86353522;15426221
870;35304956;50379578;41144383
871;71633819;3028125;55266887
872;2403466;96302691;8410770
873;70081419;92418035;75025381
874;68355349;19225305;51261991
875;7182499;52523621;1428478
876;18466862;28420271;14564548
877;21725213;1923355;23796782
878;41798655;92982599;88258555
879;97899030;82233649;68655890
880;49250659;8032066;14169189
881;15181855;29438515;42402123
882;61162253;23002249;91911198
883;844772;85045167;329640
884;57389515;73472674;35852200
885;73516254;30220918;197477
886;20312500;34119722;53984868
887;21656164;46434335;39257012
888;31490534;18458317;11296468
889;87861732;80931814;69911156
890;82563573;56231387;43592688
891;21897381;41934180;50642834
892;11990762;70140792;52792786
893;3484567;49083484;16867384
894;88136595;88503109;29332059
895;69609357;64484859;69307605
896;11228197;29286792;15722717
897;58967440;36284990;669696
898;77021026;42375259;437769
899;17923676;85347853;6130241
900;1201478;33506392;38301508
901;58747977;72810444;10937004
902;5270584;84098724;86742657
903;7787975;58378965;86542882
904;29361684;3182492;38646841
905;30814123;21774995;15423443
906;82697309;5946911;71113629
907;87303827;73772704;14611564
908;80186633;56635372;5805974
909;30188409;22283740;80811819
910;98261023;32772246;28256761
911;95654208;2374926;63672461
912;88960066;98542167;28999318
913;30846942;50041438;11390021
914;82561728;91307775;19485908
915;84951439;27091117;24978816
916;63428082;2307800;18520694
917;28752667;9786620;241080
918;53250102;3194434;24144881
919;79129642;59196662;55715513
920;71558341;56093864;6518971
921;26692110;74221405;2325479
922;91547003;1632239;68904810
923;82187410;97603892;7994885
924;22308713;40219091;91939572
925;85624563;90962496;88303597
926;27502738;23614152;81050070
927;17080652;63046879;98720236
928;8261196;19708186;14276618
929;26516722;96216902;70494237
930;58359253;27826601;80532621
931;22020574;68725309;40565138
932;21904910;67039607;39592754
933;47747916;69296862;27313826
934;60857695;78375543;43289206
935;30301933;56623444;34820815
936;18278401;70790871;70302717
937;17665601;37294703;1215358
938;25960239;73445681;73232276
939;47947457;98160539;49360175
940;1887148;22854483;40112628
941;13072516;32199721;76166536
942;32093519;96555892;18310070
943;28522833;46465314;69660689
944;48854138;39300987;41010768
945;68236573;90570903;39548527
946;36328434;68379880;68196381
947;76845967;84483352;95501942
948;96631501;75773310;95335740
949;91044349;46147247;14306491
950;75523788;14626256;51211105
951;30845635;43436696;55416925
952;88517810;55962096;56822595
953;33368697;85675460;19905732
954;45471886;90612474;2298716
955;93793451;52025511;14093434
956;56109366;89655922;24345635
957;50351360;15836873;80033171
958;11086563;47388014;17383794
959;28401700;44328377;59224241
960;9141004;78709397;92910080
961;41034252;97780427;75362060
962;34992957;33741308;87844626
963;54908333;97061289;74725922
964;25895791;55881525;19010896
965;60554700;83374652;55210785
966;14467065;95717352;83143738
967;69787125;43513235;36481294
968;47797369;15022333;86339766
969;73314959;1895584;55479352
970;93901009;41516294;63963815
971;97358577;81897107;84265616
972;29441124;44832299;45769017
973;62883539;51100055;65803958
974;68525233;89144761;73269691
975;41098707;8898230;87241628
976;6806029;7133871;69053272
977;29353500;24483049;55099743
978;33472348;48302856;4047943
979;72906331;20317161;84646479
980;2096577;78056386;47626236
981;49428384;64188520;36595189
982;70626275;5205876;88922787
983;2804032;57187733;67021247
984;77655769;93889545;42779417
985;16911281;32539818;66441860
986;90762425;53926241;67614116
987;62742004;64410373;5092383
988;2522108;95866522;68426260
989;54256118;49556602;52263296
990;31972537;28123318;796933
991;3046555;12114563;74716217
992;33548289;5125432;38454849
993;43341306;6923543;1756522
994;64905622;74685256;96708725
995;97651961;45476429;77385568
996;48866069;42967962;95908215
997;22444133;79043438;45947579
998;60143547;31536936;18257435
999;56816866;96555394;38966941
